BBC Radio 1	BBC One
Haarlem Tennyson 2nd Baron Tennyson	Hallam Tennyson 2nd Baron Tennyson
George Papandreou	George Papandreou
Arizona Administrative Divisions	List of counties in Arizona
Ruhr Stadium	Ruhrstadion
Chinese Football Association Cup	Chinese FA Cup
Ministry of Culture of the Peoples Republic of China	Ministry of Culture of the Peoples Republic of China
John Acherley Dew	John Dew bishop
Pauletta	Pauleta
Surface Pro 2	Surface Pro 2
Robert Tevers	Robert Trivers
Iwate	Iwate Prefecture
Herman van Rompuy	Herman Van Rompuy
Sony Animation	Sony Pictures Animation
Chris Weitz	Chris Weitz
MALICE MIZER	Malice Mizer
IPhone 5s	IPhone 5S
STAR Mika Nakajima album	Star Mika Nakashima album
The Chronicles of Narnia	The Chronicles of Narnia
Kuniaki Koiso	Kuniaki Koiso
Daisuke Sakata	Daisuke Sakata
Tomo Hemed	Tomer Hemed
County Durham	County Durham
Egirls	Egirls
Hebei	Hebei
Indonesian	Indonesian language
President of the European Council	President of the European Council
Golden Gale	Gold Typhoon
Grand Duke Guillaume Luxembourg	Guillaume Hereditary Grand Duke of Luxembourg
Aramaic	Aramaic alphabet
Donnie Yen	Donnie Yen
Okayama Prefecture	Okayama Prefecture
Prince Takahito Mikasa	Takahito Prince Mikasa
Nikola Petkovic	Nikola Petković
Michael Marrone football player	Michael Marrone footballer
Force Superfly album	Force Superfly album
Duncan Edward Odgerton	Duncan Oughton
Wang Liang born in 1989	Wang Liang footballer born 1989
Monaco Athletic Association Football Club	AS Monaco FC
Kawasakiku	Kawasakiku Kawasaki
Vladimir Kirillovich	Grand Duke Vladimir Kirillovich of Russia
Li Keqiang	Li Keqiang
SaintMartin	Collectivity of Saint Martin
2012 Summer Olympics Mens 400m Freestyle	Swimming at the 2012 Summer Olympics  Mens 400 metre freestyle
Communist Party of Cuba	Communist Party of Cuba
University of Freiburg	University of Freiburg
Haha	Haha entertainer
Yuto Ikeda	Hayato Ikeda
Biljilio Barco Vargas	Virgilio Barco Vargas
San Jose State University	San Jose State University
Prime Minister of Yemen	Prime Minister of Yemen
Litex Football Club	PFC Litex Lovech
Cinemax	Cinemax
Octopuss Garden	Octopuss Garden
Juventus Football Club	Juventus FC
New Mexico Thunderbird	New Mexico Thunderbirds
Awk	AWK
Carlos Parma	Carlos Duke of Parma
goa	Goa
Qiang language	Qiangic languages
Zhu Xi	Zhu Xi
Park Jungmin	Park Jungmin
Alexander Kokolin	Aleksandr Kokorin
Tang Ruizong	Emperor Ruizong of Tang
TVBSAsia	TVBSAsia
John Eaton	John Eaton politician
chandigarh	Chandigarh
Royal Dutch Football Association	Royal Dutch Football Association
Carl Valery	Carl Valeri
Worcester City Football Club	Worcester City FC
Otto Weininger	Otto Weininger
Suzuki Escudo	Suzuki Escudo
Rahm Emanuel	Rahm Emanuel
Nusra Front	AlNusra Front
Harmony CRH3 EMU	China Railways CRH3
Victor Francois 2nd Duke of Brouil	VictorFrançois 2nd duc de Broglie
John XXI	Pope John XXI
Ryeowook	Kim Ryeowook
Apple Watch	Apple Watch
Tupac Valpa	Túpac Huallpa
Fabien Bartz	Fabien Barthez
SS501	SS501
Sean Connery	Sean Connery
Pedro Pires	Pedro Pires
Fight Fever J	Battle Fever J
Westwood Studio	Westwood Studios
Ranieri Mazli	Pascoal Ranieri Mazzilli
Sweden National Football Team	Sweden national football team
Kamchatka Krai	Kamchatka Krai
Samuel L Southard	Samuel L Southard
Catholic Archdiocese of Bangkok	Roman Catholic Archdiocese of Bangkok
Loveven Cabinet	Löfven Cabinet
Kingdom of Italy 18611946	Kingdom of Italy
Guo Jinlong	Guo Jinlong
Michael Moore	Mike Moore New Zealand politician
Windows Photo Gallery	Windows Photo Gallery
Jimmy Bullard	Jimmy Bullard
University of Florence	University of Florence
Mary Kiviniemi	Mari Kiviniemi
soft rock	Soft rock
Love Dream	Dream of Love Adventure Time
Portia SimpsonMiller	Portia SimpsonMiller
Love across the ocean	Love Across the Ocean
California State Senate	California State Senate
Belgrade	Belgrade
Kara	Kara South Korean band
Botswana	Botswana
JeanPaul Sartre	JeanPaul Sartre
Mariah Carey	Mariah Carey
Louisiana Administrative Divisions	List of parishes in Louisiana
LollipopF	Lollipop F
Jiujiang Yangtze River Bridge	Jiujiang Yangtze River Bridge
Celeron	Celeron
