BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,BBC One
Haarlem Tennyson 2nd Baron Tennyson	Warner Bros Television,Charles Evans Hughes,Marriner Stoddard Eccles,Banastre Tarleton,Armen Sargsyan,Henri Brisson,Mary Todd Lincoln,Harold Urey,President of the European Council,The Rolling Stones,Carols Ayumi Hamasaki song,New Zealand Labour Party,Prime Minister of Yemen,Mapúa Institute of Technology,William Adams Richardson,London Underground,Palm Desert California,Forensic Heroes,Nintendo WiFi Connection,Friends season 7,Sandra Day OConnor,Herman Van Rompuy,Dianne Feinstein,Aksel V Johannesen,Philip II of Macedon,Vasili Kuznetsov politician,Andrew Yeom Soojung,Fabien Barthez,Saint Barthélemy,Sherrod Brown,Jeremy Bentham,Brian Mulroney,Umberto II of Italy,HansGeorg Schwarzenbeck,Marcel Desailly,Giordano Bruno,Queen Noor of Jordan,Emperor Ruizong of Tang,Prince Nikolai of Denmark,George Papandreou,Juan Antonio Samaranch,Shire of Winton,Virgilio Barco Vargas,Brendon Šantalab,President of Germany 191945,Giannis Maniatis,Ricardo Ezzati Andrello,State University of New York,Carlos Duke of Parma,Hallam Tennyson 2nd Baron Tennyson
George Papandreou	Georges Pompidou,George Grenville,Georgios Samaras,Pedro Pires,Gelderland,GeForce 700 series,GeForce 400 series,Georgios Tzavellas,Nereu Ramos,Giordano Bruno,Gordon Sprigg,Guy de Maupassant,Debbie Stabenow,Marc Janko,Kazuma Watanabe,Pope Urban III,Robbie Keane,Sergey Shoygu,Gerald Ford,RCD Espanyol,Gerd Müller,Jerry Moran,North Brabant,Pope Mark,The Pretenders,Leeuwarden,Gold Typhoon,Belgrade,Tomb Raider,Drake rapper,Carrie Underwood,Mongol Empire,Suwa Nagano,Game Center,Gossip Candy,Air Canada,Worcestershire,Patrick Kisnorbo,John Bercow,Nilo Peçanha,Pietro Badoglio,Bertrand Delanoë,Luigi Einaudi,Todor Burmov,Ron Wyden,Fabio Capello,Pope Pius IX,Moshe Katsav,Henri Brisson,George Papandreou
Arizona Administrative Divisions	Like a Virgin song,Brandeis University,Royal Australian Air Force,Prime Minister of Yemen,Prime Minister of Slovenia,Dianne Feinstein,List of parishes in Louisiana,Lafayette Louisiana,Sony Pictures Animation,Auburn University,Yokohama Station,An Lushan Rebellion,Banastre Tarleton,Even If Ken Hirai song,San Jose State University,Brown University,First Minister of Scotland,OS X Mountain Lion,Leiden University,Warner Bros Television,Brian Wilson,Carols Ayumi Hamasaki song,William Adams Richardson,Giannis Maniatis,Financial District Manhattan,Lingya District,ArabIsraeli conflict,Shandong Airlines,Inha University,Conan OBrien,Tulane University,Warsaw Uprising,Love Across the Ocean,Hong Kong Third Division League,Sichuan University,Syrian Armed Forces,Ronan Keating,Boeing Commercial Airplanes,San Antonio Spurs,Rise of Nations,Friends season 7,Edward Livingston,Marion Raven,Wuhan University,Copa Libertadores,Princess Iman bint Hussein,Gonchigiin Bumtsend,Nintendo WiFi Connection,Far Away Ayumi Hamasaki song,List of counties in Arizona
Ruhr Stadium	Toumba Stadium,Tianhe Stadium,Luzhniki Stadium,Mong Kok Stadium,Rahm Emanuel,The Hague,Over Load,Jay album,Anwar Sadat,Mauritius,Philips Stadion,Sugathadasa Stadium,Rose Bowl stadium,Ich will,Ulla Schmidt,Kurt Alder,Heartful,Air Canada,Fool Again,Ronan Keating,Chris Weitz,Piedra Spain,Croatia,Luo Gan,Ron Wyden,Bulgaria,Gary Cahill,Adam Smith,Hulk comics,Luís Figo,Star Wars,Red Skull,Punjabis,Tang Shaoyi,Suwa Nagano,Yuan Shanshan,John Sherman,Zhu Xi,John Curtin,Shropshire,Hu Jintao,Lu Xun,Shanghai,FC Seoul,Brazil,AS Nancy,Club Atlas,Astana,TRAX band,Ruhrstadion
Chinese Football Association Cup	Chinese Football Association,Swiss Football Association,Hong Kong Football Association,Royal Dutch Football Association,City Football Group,Korea Baseball Organization,Chinas Got Talent series 3,Rise of Nations,Rose Bowl stadium,Sony Pictures Animation,CSX Transportation,Shire of Winton,Lima footballer,China Railways CRH3,Lhasa Gonggar Airport,Swiss Federal Council,Nintendo WiFi Connection,Fool Again,The Rolling Stones,Warner Bros Television,2014 Chinese FA Cup,Prince Fushimi Hiroyasu,Gwangju World Cup Stadium,Shandong Airlines,Japanese National Railways,Philips Stadion,Lu Wei politician,Like a Virgin song,Empress Dowager Cian,Order of Australia,Angels Fall First,Cristiano Zanetti,Chancellor of Germany,Lost season 3,Northrop Corporation,John Eaton politician,Out Works  Collaboration Best,United Left Spain,The Bourne Ultimatum,Little Rock Arkansas,The Republicans France,Princess Iman bint Hussein,Friends season 7,Prince Nikolai of Denmark,Queen Noor of Jordan,Flea musician,Yokohama Station,Pope Callixtus III,Carlos Adriano de Sousa Cruz,Chinese FA Cup
Ministry of Culture of the Peoples Republic of China	Party of Communists of the Republic of Moldova,General Secretary of the Communist Party of Vietnam,House of Commons of the United Kingdom,Party of Labour of Albania,List of counties in Arizona,List of parishes in Louisiana,President of the European Council,Russian Soviet Federative Socialist Republic,Socialist Federal Republic of Yugoslavia,Republic of Crimea,Monarchy of the United Kingdom,Dream Girl  The Misconceptions of You,List of Portuguese monarchs,University of Texas at Austin,President of the Legislative Council of Hong Kong,States and union territories of India,Mapúa Institute of Technology,Republic of Genoa,First Minister of Scotland,Distinguished Service Medal US Army,Charlie and the Chocolate Factory film,Mike Moore New Zealand politician,Maria Alexandrovna Marie of Hesse and by Rhine,This Is It Michael Jackson song,Mayor of New Taipei,United States Secretary of Transportation,Kingdom of Yugoslavia,Lao Peoples Revolutionary Party,Prime Minister of Slovenia,Chinas Got Talent series 3,The Chronicles of Narnia,University of Portland,University of California Santa Cruz,University of Zurich,George IV of the United Kingdom,Sony Pictures Animation,The Republicans France,Nintendo Entertainment Analysis  Development,Mountain View California,Fairmount Township Butler County Kansas,Spitzer Space Telescope,Prime Minister of Yemen,Central Academy of Drama,Communist Party of Cuba,Sovereign Military Order of Malta,Party of Regions,United States Virgin Islands,University of Florence,Order of Australia,Ministry of Culture of the Peoples Republic of China
John Acherley Dew	John Bercow,John B Weller,John Sherman,John Roberts,John Curtin,Joachim Löw,Jeff Merkley,Good Charlotte,Alan Sheehan,John Paul Stevens,John Archibald Wheeler,Ivan Silayev,Jacques Demy,Pope Stephen I,Tim BernersLee,Donnie Yen,Haha entertainer,Ron Wyden,Together When,SC Heerenveen,Copa Libertadores,Ledley King,Roger Wicker,Tom Hiddleston,Bob Corker,Sean Connery,Michael Bay,Roman Sharonov,Tomer Hemed,Kurt Alder,Pope Leo IX,Conan OBrien,Socrates,Pope John XXI,Pope Urban III,Robbie Keane,Montgomery Blair,Montesquieu,Will Arnett,Sven Bender,Qin Sheng,Body Feels Exit,The Siren song,Elvis Presley,Michael Sheen,North Sea,Forensic Heroes,The Pretenders,Shropshire,John Dew bishop
Pauletta	Palencia,Pakistan,Metz,Camellia,AlQaeda,Celeron,Croatia,Bulgaria,Naha,Armenia,Ranger 2,Ranger 6,Apple A9,Mauritius,FC Metz,Quito,Inuyasha,Kashiwa,Shueisha,Valencian,Qantas,Haarlem,Paris,Kaká,Zenica,Pope Mark,Sammir,Goa,Setagaya,Club Atlas,Katowice,MeeGo,FC Goa,Astana,Yokohama,Budapest,Yugawara,Yanan,Nampo,WatchOS,Alkmaar,Cinemax,Maxis,Maebashi,KisMyFt2,Socrates,SimCity,Cameroon,Nevada,Pauleta
Surface Pro 2	Voyager 2,Soft rock,Ranger 2,Blake Ross,Chris Brown,Sherrod Brown,Gerald Ford,Cameroon,Hard rock,Chrome OS,Windows Phone,Ranger 6,Xiaomi Mi 2,Celeron,Starcamp EP,Malice Mizer,GDragon,Evergreen Group,AlNusra Front,Sunny Hill,Drake rapper,Senad Lulić,Sammir,Sorry Sorry,Corsier,Paraná state,Cape Colony,Sukhoi Su24,Monaco,Bulgaria,French Navy,Yugawara,Stefan Löfven,Marc Janko,Budapest,Karakoram,Thomas Pledl,Oregon,Socrates,Suzhou,Star Wars,Chavacano,Kuniaki Koiso,Cao Cao,Gujarat,Pope Leo IX,Sergey Shoygu,Giordano Bruno,Berbers,Surface Pro 2
Robert Tevers	Robert Coontz,Roger Wicker,Tomer Hemed,Bert T Combs,Herbert Blumer,Kurt Alder,Robbie Keane,Ander Herrera,Berbers,John B Weller,Pedro Pires,John Roberts,Gerd Müller,Bob Carr,Carl Valeri,Bob Corker,Socrates,Carl Levin,Sven Bender,Heath Ledger,Rivers Cuomo,Pat Roberts,Ched Evans,Ron Wyden,Pope Mark,Pope Leo IX,Corsier,North Sea,Khmer Empire,West Java,Battle Fever J,Game Center,Star Wars,Sorry Sorry,Hans Geiger,John Bercow,Niels Bohr,David Stern,Sean Connery,Todor Burmov,Ernst Kummer,Peter Crouch,Seth Harris,Donnie Yen,Esbjerg,Gerald Ford,Ronan Keating,Wilber Pan,The Pretenders,Robert Trivers
