Dimitris Sioufas	Dimitris Sioufas,Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Demetris Christofias,Dmitry Livanov,Antonis Samaras,Giannis Ragousis,Javier Solana,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,David Libai,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Margaritis Schinas,Dieter Althaus,Tzipi Livni,Microsoft,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,South Sudan,Marisa Matias,Doris Leuthard,Albio Sires,Siiri Oviir,Dmitry Mezentsev,Academia Sinica,Aamir Khan,Alastair Goodlad,M%C3%A1rio Soares,United Russia,United Nations,Lithuania,Tajikistan,Mauritania,Eiki Nestor,Antanas Mockus,Mike Simpson,Neritan Ceka,Tim Fischer
La Línea	Sardinia,Latvia,Le Point,Lazard,Catalonia,Wales,Kadima,Madeira,Gabon,Uzi Landau,Brunei,Jay Carney,Dan Boren,Eritrea,Libya,Al Green,Jack Lew,Al Gore,Chechnya,Hu Jintao,Ukraine,Guyana,France,Lithuania,Estonia,Mart Laar,Cantabria,Smile,EH Bildu,Romania,Nokia,Nokia,Taiwan,Tuva,Google,Kit Bond,Nuon Chea,Boeing,Rein Lang,Abu Darda,Ed Balls,Palau,Leon Panetta,Edi Rama,Sony,Senegal,Lesotho,Omar Bongo,Pio Laghi,Yash Ghai
Sherry Rehman	Sherry Rehman,Jerry Moran,Steve Rothman,Jerry Weller,Jerry Lewis,Thierry Mariani,Jerry Brown,Sierra Leone,Morris Iemma,Salman Khan,Aamir Khan,Pierre Werner,Yaakov Neeman,Joe Lieberman,Piet Bukman,Meir Dagan,Sheikh Hasina,Kiran Desai,Yahya Khan,The Bahamas,Ashraf Ghani,Mary Fallin,Anson Chan,Sally Jewell,Edi Rama,Shaul Mofaz,Steven Chu,Steny Hoyer,Samuel Schmid,George Weah,Leonid Gozman,South Sudan,Denny Tamaki,Chris Huhne,Amartya Sen,Werner Faymann,Arne Duncan,Jane Harman,Jens Weidmann,Vern Buchanan,Puerto Rico,Pedro Carmona,Gerd Leers,Terry Branstad,Norm Coleman,Sonny Perdue,Thad Cochran,Yuriy Ilyin,Michel Suleiman,Siv Jensen
Fidel Castro	Fidel Castro,Fidesz,Andrew Card,Bill Gates,Mike Crapo,Noel Davern,Fine Gael,Finns Party,Nigel Evans,Bill Ritter,Eric Cantor,Peter Cosgrove,Paul Martin,Dick Marty,Eiki Nestor,Vince Cable,Ben Cardin,Peter Hintze,Guido Carli,Jim Saxton,Jim Ramstad,Helen Clark,Lionel Jospin,United Russia,Oleh Liashko,United Nations,Iceland,Vietnam,Bill Bradley,Ed Balls,Madeira,Alfred Sant,Ahmed Galal,Gwen Moore,Dick Celeste,Tony Blair,Jay Carney,Lionel Bowen,Al Gore,Emmanuel Macron,Bill Young,Ken Starr,Bob Taft,Mike Simpson,Edi Rama,Michael Fallon,Madagascar,Jack Layton,Pedro Carmona,Rick Scott
Mikhail Sergeyevich Gorbachev	Mikhail Gorbachev,Mikhail Margelov,Nikolai Levichev,Mikheil Saakashvili,Valeriy Horbatov,Vladimir Georgiyevich Titov,Pavel Grachev,Alexei Mordashov,Israel Defense Forces,Michael Boyce, Baron Boyce,Sergey Gaplikov,Mintimer Shaimiev,Nikolay Dobrev,Valentin Yumashev,Security Service of Ukraine,Michel Mercier,Michael Spindelegger,Vladimir Anatolyevich Yakovlev,Sergey Mikhaylovich Ignatyev,Richard von Weizs%C3%A4cker,Michel Suleiman,Sergey Menyaylo,Sergey Aksyonov,Michael E. Ryan,Federico Lombardi,Michael Bloomberg,Michael Howard,Dimitrios Grapsas,Marco Maciel,Mark Shuttleworth,Michel Barnier,Nikolai Patrushev,Thierry Mariani,Serhiy Arbuzov,Hans-Peter von Kirchbach,Bill Shorten,Miguel Arraes,Maria Elena Boschi,Gilles de Robien,Alfredo Barnechea,Patrick Mayhew,French Armed Forces,Pier Ferdinando Casini,Michael Ignatieff,Canadian Armed Forces,M%C3%A1rio Soares,Yitzhak Mordechai,Yevgeny Primakov,Alexander Dzasokhov,Eiki Nestor
Solomon P. Ortiz	Solomon P. Ortiz,Solomon Passy,Solomon Islands,Shlomo Ben-Ami,Allyson Schwartz,Anthony G. Brown,Stephen F. Lynch,John R. Allen,Stephen Solarz,Leon Panetta,Carolyn McCarthy,Lloyd Axworthy,Simon Coveney,Sonny Perdue,Salman Khan,Roberta Pinotti,Ron DeSantis,Roman Herzog,Srgjan Kerim,V. P. Singh,Allan H. Meltzer,Timothy J. Keating,Donald M. Payne,John F. Tierney,John E. Sununu,R. P. Singh,Ben Cardin,John Danforth,John Warner,Scott Garrett,Raymond Kelly,Marion Barry,Tommy Lapid,Dan Burton,Ernest Moniz,Jan Pronk,Spyridon Flogaitis,Sergio Diez,South Korea,Roland Koch,Paul Martin,Tom Carper,Steven Mnuchin,Jason Chaffetz,Jean Spautz,Irene Pivetti,Robert E. Cramer,Sanna Marin,Victor Ponta,Raymond Barre
Miriam Defensor Santiago	Miriam Defensor Santiago,Marisa Matias,Kiran Desai,Mintimer Shaimiev,Israel Defense Forces,Maria Elena Boschi,Carla Del Ponte,Carlos Santana,Juan Antonio Samaranch,Jacques Santer,Morgan Tsvangirai,Mauno Koivisto,Javier Diez Canseco,Ron DeSantis,Beniamino Andreatta,Mauritania,Adrian Smith,Elena Salgado,Richard Danzig,Uri Rosenthal,Corina Casanova,Javier Solana,Chelsea Manning,Margaritis Schinas,Oskar Lafontaine,Victor Ponta,Marine Le Pen,Fidel Castro,Mario Barletta,Iberian Peninsula,Luis Videgaray Caso,Makiko Tanaka,Jair Bolsonaro,Jim Prentice,Marietta Giannakou,Prem Tinsulanonda,James Langevin,Bram Peper,Marie Bashir,Vincenzo Scotti,Marilies Flemming,Sam Johnson,James Florio,Takeshi Onaga,Jeb Hensarling,Movement for France,Mathias Cormann,Mircea Geoan%C4%83,Chris Grayling,Peter Hintze
Andrew Adonis	Andrew Card,Andrew Powell,Andrus Ansip,Andrew Lansley,Andriy Sadovyi,Andrew Robathan,Alfred Sant,Indrek Tarand,Moshe Arens,Amy Adams,Ashraf Ghani,Anke Fuchs,Andreas Loverdos,James Florio,Nigel Evans,Antonio Inoki,Todd Akin,Ernest Moniz,Taro Kono,Steve Daines,Arsen Avakov,Anson Chan,Idi Amin,Angelo Scola,Miguel Arraes,Andris Piebalgs,Pedro Solbes,Peronism,Greg Abbott,Enda Kenny,Tariq Aziz,Anne Hidalgo,Omar Bongo,Alice Rivlin,Dipu Moni,Pope Francis,Jerry Lewis,Sierra Leone,Ilse Aigner,Sardinia,L. K. Advani,Adobe Inc.,Apple Inc.,United Russia,United Nations,Adrian Smith,Chris Huhne,Victor Ponta,Ed Balls,Ben Cardin
T. Michael Moseley	T. Michael Moseley,Michael Fallon,Michael Howard,Michel Mercier,Michael E. Ryan,Michael Flynn,Michael Bloomberg,Michael Dukakis,Michel Barnier,Mikhail Margelov,Wilhelm Molterer,R. Nicholas Burns,Connie Morella,Michel Suleiman,Jean-Michel Baylet,Michael Ignatieff,Bill Bradley,Stephen Hadley,Lionel Bowen,Richard Ottaway,Simon Coveney,Mikhail Gorbachev,Grace Kelly,Michel Camdessus,Redha Malek,Shaul Mofaz,Martha McSally,Michael Koc%C3%A1b,Miguel Arraes,Michael Spindelegger,Lionel Jospin,C. Boyden Gray,H. R. McMaster,F. W. de Klerk,Zbigniew Messner,Tim Fischer,Rick Boucher,Tim Holden,Paul Reeves,Vince Cable,Dick Celeste,Howard Coble,William Cohen,Dick Marty,Rob Nicholson,Jim Doyle,Richard Danzig,Microsoft,Jim Molan,Joe Crowley
Kōichirō Genba	Victor Ponta,Joachim Gauck,Richard Danzig,Richard Dannatt,Richard Nixon,Tzachi Hanegbi,Kenji Goto,Lithuania,Michael Flynn,Pierre Werner,Rick Larsen,Morris Iemma,Kit Bond,Richard Ottaway,Richard Caborn,Kiran Desai,Gianni Letta,Victor Ciorbea,Richard Branson,Kaushik Basu,Sierra Leone,Siiri Oviir,Eritrea,Tzipi Livni,Kristina Keneally,Richard Bruton,Lothar Bisky,Chechnya,Taro Kono,Takeshi Onaga,Eiki Nestor,Makiko Tanaka,Saudi Arabia,Mauritania,Rein Lang,South Korea,Netherlands,Al Green,William Cohen,Ahmed Galal,Dick Celeste,Edi Rama,Jack Lew,David Libai,Bruce George,Gabriel Oprea,Norm Kelly,Peter Welch,Sardinia,Chuck Robb
Yaakov Edri	Yaakov Edri,Yaakov Neeman,Yash Ghai,Mark Kirk,Yair Lapid,Satsuki Eda,Renato Soru,Yahya Khan,Jack Lew,Taro Kono,Mark Pryor,Guido Carli,Sanna Marin,Sadako Ogata,Jelko Kacin,Carlos Slim,Marion Barry,David Libai,Ze%27ev Elkin,Marek Jurek,Eliane Karp,Madrid,Paul Biya,Mark Binskin,Ludwik Dorn,David Ige,Mark Rutte,Babacar Gaye,Eliot Engel,Srgjan Kerim,Dan Boren,Tariq Aziz,Sajid Javid,Boyko Borisov,Paul Martin,Pavel Tigrid,Paulo Maluf,Mart Laar,Yuriy Ilyin,Albio Sires,Marat Tajin,Tom Udall,Tatars,Bram Peper,Andrew Card,Ron Wyden,Hans Blix,Lazard,James Florio,Dave Weldon
