BBC Radio 1	BBC One
Haarlem Tennyson 2nd Baron Tennyson	Hallam Tennyson 2nd Baron Tennyson
George Papandreou	George Papandreou
Arizona Administrative Divisions	List of counties in Arizona
Ruhr Stadium	Ruhrstadion
Outbound Love	Outbound Love
Chinese Football Association Cup	Chinese FA Cup
Ministry of Culture of the Peoples Republic of China	Ministry of Culture of the Peoples Republic of China
John Acherley Dew	John Dew
Adachi Tokyo	Adachi Tokyo
Ibán Cuadrado	Ibán Cuadrado
Pauletta	Pauleta
Surface Pro 2	Surface Pro 2
Robert Tevers	Robert Trivers
Iwate	Iwate Prefecture
Herman van Rompuy	Herman Van Rompuy
Sony Animation	Sony Pictures Animation
Chris Weitz	Chris Weitz
MALICE MIZER	Malice Mizer
Fraser alphabet	Fraser alphabet
Shenzhou 6	Shenzhou 6
Kwak Taehwi	Kwak Taehwi
IPhone 5s	IPhone 5S
STAR	Star
The Chronicles of Narnia	The Chronicles of Narnia
Kuniaki Koiso	Kuniaki Koiso
Kyōiku	Kyōiku
Daisuke Sakata	Daisuke Sakata
Salar language	Salar language
Tomo Hemed	Tomer Hemed
County Durham	County Durham
Egirls	Egirls
Hebei	Hebei
Kunitachi	Kunitachi Tokyo
Indonesian	Indonesian language
President of the European Council	President of the European Council
Golden Gale	Gold Typhoon
Grand Duke Guillaume	Guillaume Hereditary Grand Duke of Luxembourg
Lee Taemin	Lee Taemin
Branko Ilić	Branko Ilić
Aramaic	Aramaic alphabet
Donnie Yen	Donnie Yen
Okayama Prefecture	Okayama Prefecture
Prince Takahito Mikasa	Takahito Prince Mikasa
Nikola Petkovic	Nikola Petković
Michael Marrone	Michael Marrone
Jermaine Beckford	Jermaine Beckford
Winston Chang	Winston Chang
Force	Force
Duncan Edward Odgerton	Duncan Oughton
Wang Liang	Wang Liang
Monaco Athletic Association Football Club	AS Monaco FC
Kawasakiku	Kawasakiku Kawasaki
Vladimir Kirillovich	Grand Duke Vladimir Kirillovich of Russia
Li Keqiang	Li Keqiang
SaintMartin	Collectivity of Saint Martin
Maxi Rodríguez	Maxi Rodríguez
2012 Summer Olympics Mens 400m Freestyle	Swimming at the 2012 Summer Olympics  Mens 400 metre freestyle
Lake Peipus	Lake Peipus
Communist Party of Cuba	Communist Party of Cuba
University of Freiburg	University of Freiburg
Kara Wai	Kara Hui
Haha	Haha
Henry Brockholst Livingston	Henry Brockholst Livingston
Yuto Ikeda	Hayato Ikeda
Biljilio Barco Vargas	Virgilio Barco Vargas
San Jose State University	San Jose State University
Prime Minister of Yemen	Prime Minister of Yemen
Litex Football Club	PFC Litex Lovech
Cinemax	Cinemax
Octopuss Garden	Octopuss Garden
Pallava Grantha	Grantha alphabet
Juventus Football Club	Juventus FC
New Mexico Thunderbird	New Mexico Thunderbirds
Lech Wałęsa	Lech Wałęsa
Awk	AWK
Carlos	Carlos Duke of Parma
goa	Goa
Qiang language	Qiangic languages
Zhu Xi	Zhu Xi
Ōyama Iwao	Ōyama Iwao
Park Jungmin	Park Jungmin
Alexander Kokolin	Aleksandr Kokorin
Tang Ruizong	Emperor Ruizong of Tang
TVBSAsia	TVBSAsia
Úrvalsdeild	Úrvalsdeild
John Eaton	John Eaton
chandigarh	Chandigarh
Urasoe Okinawa	Urasoe Okinawa
Royal Dutch Football Association	Royal Dutch Football Association
Carl Valery	Carl Valeri
Worcester City Football Club	Worcester City FC
Otto Weininger	Otto Weininger
Piotr Jaroszewicz	Piotr Jaroszewicz
Suzuki Escudo	Suzuki Escudo
Rahm Emanuel	Rahm Emanuel
Nusra Front	AlNusra Front
Harmony CRH3 EMU	China Railways CRH3
Victor Francois 2nd Duke of Brouil	VictorFrançois 2nd duc de Broglie
Maximinus Daza	Maximinus II
John XXI	Pope John XXI
Watford	Watford
Yao Chiawen	Yao Chiawen
US Salernitana 1919	US Salernitana 1919
Ryeowook	Kim Ryeowook
Apple Watch	Apple Watch
Astro Wah Lai Toi	Astro Wah Lai Toi
Tupac Valpa	Túpac Huallpa
Fabien Bartz	Fabien Barthez
SS501	SS501
Reza Ghoochannejhad	Reza Ghoochannejhad
Sean Connery	Sean Connery
Pedro Pires	Pedro Pires
Fight Fever J	Battle Fever J
Simon Kjær	Simon Kjær
Westwood Studio	Westwood Studios
Ranieri Mazli	Pascoal Ranieri Mazzilli
Sweden National Football Team	Sweden national football team
