BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,Punjabis,RCD Mallorca,Luo Gan,Cameroon,Ron Wyden,Zhu Xi,Bill Nelson,Al Ain FC,Chandigarh,Sakhalin,Bashkirs,Gary Cahill,Pat Roberts,Nereu Ramos,Kim Ryeowook,Blake Ross,Marc Janko,Li Ruihuan,Lu Zhangong,Liu Jian,Guo Jinlong,Madrid,Berlin,Paris,TVBSAsia,Cinemax,Li Keqiang,St Albans,SS501,Fool Again,Qantas,Modula2,Xiaomi Mi 2,Cape Colony,ABBA,TRAX band,Lost season 3,Shropshire,Wind song,SimCity,H EP,Nicki Minaj,Sunny Hill,Soft rock,Americas,Alkmaar,Hitachi,Yokohama,Will Champion,Egirls,BBC One
Haarlem Tennyson 2nd Baron Tennyson	Warner Bros Television,Charles Evans Hughes,Marriner Stoddard Eccles,Banastre Tarleton,Armen Sargsyan,Henri Brisson,Mary Todd Lincoln,Harold Urey,President of the European Council,The Rolling Stones,Carols Ayumi Hamasaki song,New Zealand Labour Party,Prime Minister of Yemen,Mapúa Institute of Technology,William Adams Richardson,London Underground,Palm Desert California,Forensic Heroes,Nintendo WiFi Connection,Friends season 7,Sandra Day OConnor,Herman Van Rompuy,Dianne Feinstein,Aksel V Johannesen,Philip II of Macedon,Vasili Kuznetsov politician,Andrew Yeom Soojung,Fabien Barthez,Saint Barthélemy,Sherrod Brown,Jeremy Bentham,Brian Mulroney,Umberto II of Italy,HansGeorg Schwarzenbeck,Marcel Desailly,Giordano Bruno,Queen Noor of Jordan,Emperor Ruizong of Tang,Prince Nikolai of Denmark,George Papandreou,Juan Antonio Samaranch,Shire of Winton,Virgilio Barco Vargas,Brendon Šantalab,President of Germany 191945,Giannis Maniatis,Ricardo Ezzati Andrello,State University of New York,Carlos Duke of Parma,Carlos Adriano de Sousa Cruz,Far Away Ayumi Hamasaki song,Collectivity of Saint Martin,Free  Easy Ayumi Hamasaki song,Even If Ken Hirai song,Yomiuri Telecasting Corporation,Aleksandr Kokorin,Notre Dame de Paris,San Antonio Spurs,Prime Minister of Slovenia,Chinas Got Talent series 3,Chancellor of Germany,Huangchuan County,Labour Party Hong Kong,Roman Sharonov,OS X Mountain Lion,The Flash 2014 TV series,Little Rock Arkansas,Kara South Korean band,Carrie Underwood,Yellow Coldplay song,California State Senate,Taipei Metro Line 5,Wales national football team,Haha entertainer,The Republicans France,Carlos Santana,Jack Ryan character,Kim Jiwon actress,Japanese National Railways,Saint Paul Minnesota,Mali national football team,National Front France,Korea Baseball Organization,Marion Raven,Party of Regions,Carson California,Shandong Airlines,Mizan Zainal Abidin of Terengganu,Kourtney Kardashian,Benjamin Bristow,Sean Connery,Tom Hiddleston,Soraya EsfandiaryBakhtiari,Vyacheslav Menzhinsky,Şemsettin Günaltay,Bernard Mandeville,Haarlem,Conan OBrien,Arjen Robben,Hallam Tennyson 2nd Baron Tennyson
George Papandreou	Georges Pompidou,George Grenville,Georgios Samaras,Pedro Pires,Gelderland,GeForce 700 series,GeForce 400 series,Georgios Tzavellas,Nereu Ramos,Giordano Bruno,Gordon Sprigg,Guy de Maupassant,Debbie Stabenow,Marc Janko,Kazuma Watanabe,Pope Urban III,Robbie Keane,Sergey Shoygu,Gerald Ford,RCD Espanyol,Gerd Müller,Jerry Moran,North Brabant,Pope Mark,The Pretenders,Leeuwarden,Gold Typhoon,Belgrade,Tomb Raider,Drake rapper,Carrie Underwood,Mongol Empire,Suwa Nagano,Game Center,Gossip Candy,Air Canada,Worcestershire,Patrick Kisnorbo,John Bercow,Nilo Peçanha,Pietro Badoglio,Bertrand Delanoë,Luigi Einaudi,Todor Burmov,Ron Wyden,Fabio Capello,Pope Pius IX,Moshe Katsav,Henri Brisson,Gary Cahill,Montesquieu,Pope John XXI,Dianne Feinstein,Avril Lavigne,Pep Guardiola,Angela Merkel,Émile Borel,Lucrezia Borgia,Rahm Emanuel,Nacho Monreal,Gerald Guralnik,Gary Locke,Jeremy Bentham,Giorgio Chiellini,Tongzhi Emperor,Deng Yingchao,Mari Kiviniemi,Carl Valeri,Luo Gan,Roger Wicker,Mariah Carey,Kurt Vonnegut,Vegalta Sendai,Roman Sharonov,Sean Connery,Herbert Blumer,Wilber Pan,Zhongshan,Dordrecht,Ruhrstadion,Shire of Winton,Kurt Alder,Cao Cao,Thomas Pledl,Piedra Spain,Seth Harris,Celeron,Setagaya,Perfume Japanese band,Heath Ledger,Löfven Cabinet,Yugawara,Tianhe Stadium,The Hague,Bob Carr,Lee Seunggi,Sven Bender,Rainie Yang,TRAX band,George Papandreou
Arizona Administrative Divisions	Like a Virgin song,Brandeis University,Royal Australian Air Force,Prime Minister of Yemen,Prime Minister of Slovenia,Dianne Feinstein,List of parishes in Louisiana,Lafayette Louisiana,Sony Pictures Animation,Auburn University,Yokohama Station,An Lushan Rebellion,Banastre Tarleton,Even If Ken Hirai song,San Jose State University,Brown University,First Minister of Scotland,OS X Mountain Lion,Leiden University,Warner Bros Television,Brian Wilson,Carols Ayumi Hamasaki song,William Adams Richardson,Giannis Maniatis,Financial District Manhattan,Lingya District,ArabIsraeli conflict,Shandong Airlines,Inha University,Conan OBrien,Tulane University,Warsaw Uprising,Love Across the Ocean,Hong Kong Third Division League,Sichuan University,Syrian Armed Forces,Ronan Keating,Boeing Commercial Airplanes,San Antonio Spurs,Rise of Nations,Friends season 7,Edward Livingston,Marion Raven,Wuhan University,Copa Libertadores,Princess Iman bint Hussein,Gonchigiin Bumtsend,Nintendo WiFi Connection,Far Away Ayumi Hamasaki song,Henri Brisson,Kuniaki Koiso,Alexandre Millerand,Pascoal Ranieri Mazzilli,Abdullah bin Khalifa Stadium,Tin Aung Myint Oo,Mari Kiviniemi,Prudente de Morais,Benjamin Bristow,Stanford University,Benjamin Disraeli,Lansing Michigan,Northwest Territories,Amintore Fanfani,Santander Spain,Palm Desert California,Saint Paul Minnesota,California State Senate,Stadium Australia,Order of Australia,Albanian Armed Forces,Piedra Spain,Hong Kong Third A Division League,Connecticut River,Paraná state,AlNusra Front,Forensic Heroes,China Railways CRH3,Northrop Corporation,Northeastern University,Chinese Football Association,Swiss Football Association,National Front France,Animax Asia,Angels Fall First,Atlantic Records,CSX Transportation,Hong Kong Football Association,Wind song,John Eaton politician,The Siren song,Rainie Yang,Clark University,John Langdon politician,Flea musician,GNU Core Utilities,Aramaic alphabet,Nankai University,Chinas Got Talent series 3,Party of Regions,List of counties in Arizona
Ruhr Stadium	Toumba Stadium,Tianhe Stadium,Luzhniki Stadium,Mong Kok Stadium,Rahm Emanuel,The Hague,Over Load,Jay album,Anwar Sadat,Mauritius,Philips Stadion,Sugathadasa Stadium,Rose Bowl stadium,Ich will,Ulla Schmidt,Kurt Alder,Heartful,Air Canada,Fool Again,Ronan Keating,Chris Weitz,Piedra Spain,Croatia,Luo Gan,Ron Wyden,Bulgaria,Gary Cahill,Adam Smith,Hulk comics,Luís Figo,Star Wars,Red Skull,Punjabis,Tang Shaoyi,Suwa Nagano,Yuan Shanshan,John Sherman,Zhu Xi,John Curtin,Shropshire,Hu Jintao,Lu Xun,Shanghai,FC Seoul,Brazil,AS Nancy,Club Atlas,Astana,TRAX band,Daur language,Tim Krul,ND Gorica,Sammir,Yokohama Station,Qin Sheng,AC Omonia,North Sea,Thuringia,Katowice,Belgrade,Wuhan Zall FC,Karakoram,FC Goa,Budapest,Hakan Yakin,Bird,Quito,Roman Sharonov,Fuchū Tokyo,Will Champion,Nightwish,Corsier,Carl Valeri,Hitachi,Ordos City,Sven Bender,Alan Sheehan,David Stern,Setagaya,Kushan Empire,Tigris,Tong Liya,Pauleta,Haarlem,Lakhdar Brahimi,ECMAScript,Rolling Star,GDragon,Sunny Hill,Naif Hazazi,Americas,Khmer Empire,Kurt Vonnegut,Yugawara,Jahangir,Jules Bianchi,Marc Janko,Sukhoi Su24,John Bercow,Ruhrstadion
Chinese Football Association Cup	Chinese Football Association,Swiss Football Association,Hong Kong Football Association,Royal Dutch Football Association,City Football Group,Korea Baseball Organization,Chinas Got Talent series 3,Rise of Nations,Rose Bowl stadium,Sony Pictures Animation,CSX Transportation,Shire of Winton,Lima footballer,China Railways CRH3,Lhasa Gonggar Airport,Swiss Federal Council,Nintendo WiFi Connection,Fool Again,The Rolling Stones,Warner Bros Television,2014 Chinese FA Cup,Prince Fushimi Hiroyasu,Gwangju World Cup Stadium,Shandong Airlines,Japanese National Railways,Philips Stadion,Lu Wei politician,Like a Virgin song,Empress Dowager Cian,Order of Australia,Angels Fall First,Cristiano Zanetti,Chancellor of Germany,Lost season 3,Northrop Corporation,John Eaton politician,Out Works  Collaboration Best,United Left Spain,The Bourne Ultimatum,Little Rock Arkansas,The Republicans France,Princess Iman bint Hussein,Friends season 7,Prince Nikolai of Denmark,Queen Noor of Jordan,Flea musician,Yokohama Station,Pope Callixtus III,Carlos Adriano de Sousa Cruz,Qingdao Jonoon FC,2014 AFC Presidents Cup,Crystal Palace FC,Tianhe Stadium,Wuhan Zall FC,Rose Bowl Game,Worcester City FC,An Lushan Rebellion,Wang Liang footballer born 1989,Central Academy of Drama,Toumba Stadium,Vålerenga Fotball,Mong Kok Stadium,Kara South Korean band,Lingya District,Dai Jiaoqian,Toyota Aichi,One Arashi album,Taipei Metro Line 5,Emirate of Jabal Shammar,Communist Party of Cuba,Cathay Pacific,Zhang Wentian,This Is It Michael Jackson song,Lin Fengjiao,Chen Jianbin,Carols Ayumi Hamasaki song,The Siren song,Animax Asia,Cape Colony,Liberal Party Philippines,Kingdom of Yugoslavia,Will Champion,John Langdon politician,OS X Mountain Lion,University of Portland,House of Vasa,The Chronicles of Narnia,Carson California,County Monaghan,Banastre Tarleton,West Virginia,University of Mississippi,City of Canada Bay,Du riechst so gut,Francesco Totti,Pietro Badoglio,Rensuke Isogai,Vincenzo Montella,Lafayette Louisiana,Chinese FA Cup
Ministry of Culture of the Peoples Republic of China	Party of Communists of the Republic of Moldova,General Secretary of the Communist Party of Vietnam,House of Commons of the United Kingdom,Party of Labour of Albania,List of counties in Arizona,List of parishes in Louisiana,President of the European Council,Russian Soviet Federative Socialist Republic,Socialist Federal Republic of Yugoslavia,Republic of Crimea,Monarchy of the United Kingdom,Dream Girl  The Misconceptions of You,List of Portuguese monarchs,University of Texas at Austin,President of the Legislative Council of Hong Kong,States and union territories of India,Mapúa Institute of Technology,Republic of Genoa,First Minister of Scotland,Distinguished Service Medal US Army,Charlie and the Chocolate Factory film,Mike Moore New Zealand politician,Maria Alexandrovna Marie of Hesse and by Rhine,This Is It Michael Jackson song,Mayor of New Taipei,United States Secretary of Transportation,Kingdom of Yugoslavia,Lao Peoples Revolutionary Party,Prime Minister of Slovenia,Chinas Got Talent series 3,The Chronicles of Narnia,University of Portland,University of California Santa Cruz,University of Zurich,George IV of the United Kingdom,Sony Pictures Animation,The Republicans France,Nintendo Entertainment Analysis  Development,Mountain View California,Fairmount Township Butler County Kansas,Spitzer Space Telescope,Prime Minister of Yemen,Central Academy of Drama,Communist Party of Cuba,Sovereign Military Order of Malta,Party of Regions,United States Virgin Islands,University of Florence,Order of Australia,An Lushan Rebellion,Altai Republic,University of Liverpool,University of Mississippi,University of Economics Prague,House of Hohenzollern,University of Saskatchewan,University of Turin,Vasili Kuznetsov politician,University of Alabama,Warner Bros Television,University of Notre Dame,University of Jena,United Left Spain,Grand Duchy of SaxeWeimarEisenach,Princess Victoria Louise of Prussia,Dream of Love Adventure Time,Giorgio Chiellini,Nintendo WiFi Connection,Northern California,Carlos Duke of Parma,Buffy the Vampire Slayer season 4,Antonio López footballer born 1981,Carlos Adriano de Sousa Cruz,Labour Party Hong Kong,Emperor Ruizong of Tang,Yomiuri Telecasting Corporation,Emirate of Jabal Shammar,Roman Catholic Archdiocese of Bangkok,United States Secretary of the Treasury,Kingdom of Sicily,Grand Duchess Alexandra Nikolaevna of Russia,Kara South Korean band,Royal Dutch Football Association,Grand Duke Vladimir Kirillovich of Russia,Perfume Japanese band,Mizan Zainal Abidin of Terengganu,French Polynesia,Liberal Party Philippines,Northwest Territories,First Love Utada Hikaru album,University of Freiburg,Viktor Chernomyrdin,Shire of Winton,Municipality of Strathfield,Redwood City California,Notre Dame de Paris,Swiss Federal Council,Luis Guillermo Solís,Banastre Tarleton,Ministry of Culture of the Peoples Republic of China
John Acherley Dew	John Bercow,John B Weller,John Sherman,John Roberts,John Curtin,Joachim Löw,Jeff Merkley,Good Charlotte,Alan Sheehan,John Paul Stevens,John Archibald Wheeler,Ivan Silayev,Jacques Demy,Pope Stephen I,Tim BernersLee,Donnie Yen,Haha entertainer,Ron Wyden,Together When,SC Heerenveen,Copa Libertadores,Ledley King,Roger Wicker,Tom Hiddleston,Bob Corker,Sean Connery,Michael Bay,Roman Sharonov,Tomer Hemed,Kurt Alder,Pope Leo IX,Conan OBrien,Socrates,Pope John XXI,Pope Urban III,Robbie Keane,Montgomery Blair,Montesquieu,Will Arnett,Sven Bender,Qin Sheng,Body Feels Exit,The Siren song,Elvis Presley,Michael Sheen,North Sea,Forensic Heroes,The Pretenders,Shropshire,Sun Zhengcai,Jack Kerouac,Worcestershire,Coptic alphabet,Love So Sweet,Ranger 2,Ranger 6,Apple A9,Rose Bowl Game,Southern Tang,Katy Perry,So Girls,Wuhan Zall FC,Akhenaten,Nintendo DSi,Naughty Dog,French Navy,Lost season 3,Voyager 2,Nintendo DS,Thomas Pledl,Gerd Müller,Sherrod Brown,Bill Nelson,Harold Urey,Jerry Moran,Hans Geiger,Manuel Valls,Thomas Vermaelen,Pope Mark,Zara Phillips,Carl Valeri,José Bosingwa,Otto Weininger,Gary Cahill,Pat Roberts,Bob Carr,Aldous Huxley,Rahm Emanuel,Ronan Keating,Ali Abdullah Saleh,Pope Innocent VII,Heath Ledger,Tong Liya,Ander Herrera,Klaus Augenthaler,Corsier,Shaquille ONeal,Tongzhi Emperor,Casey Affleck,John Dew bishop
Pauletta	Palencia,Pakistan,Metz,Camellia,AlQaeda,Celeron,Croatia,Bulgaria,Naha,Armenia,Ranger 2,Ranger 6,Apple A9,Mauritius,FC Metz,Quito,Inuyasha,Kashiwa,Shueisha,Valencian,Qantas,Haarlem,Paris,Kaká,Zenica,Pope Mark,Sammir,Goa,Setagaya,Club Atlas,Katowice,MeeGo,FC Goa,Astana,Yokohama,Budapest,Yugawara,Yanan,Nampo,WatchOS,Alkmaar,Cinemax,Maxis,Maebashi,KisMyFt2,Socrates,SimCity,Cameroon,Nevada,Luo Gan,Delhi,Botswana,Belize,Esbjerg,Oregon,Belfast,Gujarat,Liu Jian,Berbers,Karakoram,Yemen,Modula2,Clang,Odawara,Jahangir,Pat Roberts,Carl Levin,Yang Xu,Sendai,IPhone 5S,Bashkirs,Sakhalin,TVBSAsia,Suzhou,Yunnan,Busan,Coquitlam,Zhu Xi,Cao Cao,Punjabis,Wally West,Lu Xun,Thuringia,Hebei,AS Roma,Hu Jintao,Guangxi,Madrid,Berlin,FC Seoul,McLaren,Hitachi,Bird,AS Nancy,Fool Again,GDragon,Leessang,Americas,Chicken,Pauleta
Surface Pro 2	Voyager 2,Soft rock,Ranger 2,Blake Ross,Chris Brown,Sherrod Brown,Gerald Ford,Cameroon,Hard rock,Chrome OS,Windows Phone,Ranger 6,Xiaomi Mi 2,Celeron,Starcamp EP,Malice Mizer,GDragon,Evergreen Group,AlNusra Front,Sunny Hill,Drake rapper,Senad Lulić,Sammir,Sorry Sorry,Corsier,Paraná state,Cape Colony,Sukhoi Su24,Monaco,Bulgaria,French Navy,Yugawara,Stefan Löfven,Marc Janko,Budapest,Karakoram,Thomas Pledl,Oregon,Socrates,Suzhou,Star Wars,Chavacano,Kuniaki Koiso,Cao Cao,Gujarat,Pope Leo IX,Sergey Shoygu,Giordano Bruno,Berbers,Katy Perry,Suwa Nagano,Bradford,Shropshire,Harold Urey,Mariah Carey,Kurt Alder,Hurricane Ike,Sun Zhengcai,Jack Kerouac,Yury Luzhkov,OneDrive,Game Center,Nexus 7 2012,Chromecast,IPhone 5S,Nintendo 2DS,MeeGo,Apple A9,Apple Watch,Lost season 3,ECMAScript,Nintendo DS,Forensic Heroes,HTC One V,Over Load,Suzuki Escudo,Naughty Dog,Xiaomi,FC Goa,Avex Trax,Mazda Cosmo,CurtissWright,Hitachi,Salt Lake City,Jerry Moran,Milan Susak,So Girls,North Sea,Camellia,Hulk comics,Santander Spain,Ruhrstadion,McLaren,Carl Valeri,Trabzonspor,Oppa Oppa,Fuchū Tokyo,Indiana Pacers,Gary Locke,Surface Pro 2
Robert Tevers	Robert Coontz,Roger Wicker,Tomer Hemed,Bert T Combs,Herbert Blumer,Kurt Alder,Robbie Keane,Ander Herrera,Berbers,John B Weller,Pedro Pires,John Roberts,Gerd Müller,Bob Carr,Carl Valeri,Bob Corker,Socrates,Carl Levin,Sven Bender,Heath Ledger,Rivers Cuomo,Pat Roberts,Ched Evans,Ron Wyden,Pope Mark,Pope Leo IX,Corsier,North Sea,Khmer Empire,West Java,Battle Fever J,Game Center,Star Wars,Sorry Sorry,Hans Geiger,John Bercow,Niels Bohr,David Stern,Sean Connery,Todor Burmov,Ernst Kummer,Peter Crouch,Seth Harris,Donnie Yen,Esbjerg,Gerald Ford,Ronan Keating,Wilber Pan,The Pretenders,Cosmin Contra,Nereu Ramos,Kidderminster,St Albans,Forensic Heroes,Takuya Terada,Angela Merkel,Dordrecht,Mongol Empire,Malice Mizer,Marion Raven,Southern Tang,Soft rock,Ranger 2,Indiana Pacers,Americas,Love So Sweet,Worcestershire,So Girls,Ranger 6,Avex Trax,Over Load,Red Skull,Rolling Star,OneDrive,Katy Perry,Auburn University,Azerbaijanis,Tomb Raider,Jeremy Bentham,Thomas Hobbes,Conan OBrien,Kurt Vonnegut,John Paul Stevens,Émile Borel,Montesquieu,John Curtin,Chris Weitz,Virgin Records,Cantonese,Gary Locke,Thomas Pledl,Harold Urey,John Sherman,Andi Herzog,Gary Cahill,Gordon Sprigg,Will Arnett,Stefan Löfven,Yuya Tegoshi,Robert Trivers
