Dimitris Sioufas	Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Dmitry Livanov,Demetris Christofias,Mário Soares,Antonis Samaras,Giannis Ragousis,Javier Solana,Mümtaz Soysal,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,Hindi cinema,David Libai,François Loos,Éric Raoult,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Dieter Althaus,Tzipi Livni,Microsoft,Margaritis Schinas,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,Albio Sires,South Sudan,Marisa Matias,Doris Leuthard,François Zimeray,Siiri Oviir,Dmitry Mezentsev,François Goulard,Academia Sinica,Aamir Khan,Alastair Goodlad,United Russia,United Nations,Lithuania,Tajikistan,Dimitris Sioufas
La Línea	Sardinia,Latvia,Le Point,Lazard,Lê Duẩn,Catalonia,Kadima,Madeira,Wales,Gabon,Uzi Landau,Brunei,Jay Carney,Dan Boren,Libya,Eritrea,Al Green,Jack Lew,Al Gore,Chechnya,Ninja,Hu Jintao,L'Express,Ukraine,Guyana,France,Lithuania,Estonia,Mart Laar,Cantabria,Smile,EH Bildu,Romania,Nokia,Nokia,Taiwan,Tuva,Kit Bond,Nuon Chea,Google,Boeing,Rein Lang,Abu Darda,Senegal,Ed Balls,Leon Panetta,Palau,Edi Rama,Sony,La Línea de la Concepción
Sherry Rehman	Jerry Moran,Steve Rothman,Jerry Weller,Jerry Lewis,Thierry Mariani,Jerry Brown,Sierra Leone,Morris Iemma,Salman Khan,Aamir Khan,Pierre Werner,Meir Dagan,Yaakov Neeman,Joe Lieberman,Piet Bukman,Sheikh Hasina,Kiran Desai,Yahya Khan,The Bahamas,Ashraf Ghani,Mary Fallin,Anson Chan,Sally Jewell,Edi Rama,Shaul Mofaz,Leire Pajín,Steven Chu,George Weah,Steny Hoyer,Hervé Morin,Samuel Schmid,Leonid Gozman,South Sudan,Denny Tamaki,Chris Huhne,Amartya Sen,Werner Faymann,Arne Duncan,Jens Weidmann,Pedro Carmona,Éric Besson,Jane Harman,Vern Buchanan,Puerto Rico,Gerd Leers,Terry Branstad,Norm Coleman,Sonny Perdue,Thad Cochran,Sherry Rehman
Fidel Castro	Andrew Card,Bill Gates,Mike Crapo,Noel Davern,Fidesz,Fine Gael,Finns Party,Paul Otto,Raúl Rivero,Nigel Evans,Bill Ritter,Eric Cantor,Paul Martin,Dick Marty,Nicolás Maduro,Eiki Nestor,Vince Cable,Ben Cardin,Peter Hintze,Guido Carli,Pál Vastagh,Jim Saxton,Jim Ramstad,Helen Clark,Lionel Jospin,United Russia,Peter Cosgrove,Oleh Liashko,United Nations,Iceland,Vietnam,Libération,Ed Balls,Madeira,Alfred Sant,Ahmed Galal,Gwen Moore,Dick Celeste,Tony Blair,Jay Carney,Lionel Bowen,Bill Bradley,Al Gore,Bill Young,Ken Starr,Bob Taft,Mike Simpson,Edi Rama,Michael Fallon,Fidel Castro
Mikhail Sergeyevich Gorbachev	Mikhail Margelov,Nikolai Levichev,Mikheil Saakashvili,Valeriy Horbatov,Vladimir Georgiyevich Titov,Pavel Grachev,Alexei Mordashov,Israel Defense Forces,Michael Boyce, Baron Boyce,Sergey Gaplikov,Mintimer Shaimiev,Nikolay Dobrev,Valentin Yumashev,Security Service of Ukraine,Richard von Weizsäcker,Michel Mercier,Michael Spindelegger,Vladimir Anatolyevich Yakovlev,Sergey Mikhaylovich Ignatyev,Michel Suleiman,Michael Kocáb,Sergey Menyaylo,Sergey Aksyonov,Michael E. Ryan,Federico Lombardi,Michael Bloomberg,Michael Howard,Dimitrios Grapsas,Marco Maciel,Mark Shuttleworth,Michel Barnier,Nikolai Patrushev,Thierry Mariani,Mário Soares,Serhiy Arbuzov,Miguel Arraes,Hans-Peter von Kirchbach,Bill Shorten,Maria Elena Boschi,Gilles de Robien,Alfredo Barnechea,Patrick Mayhew,Mihai Tănăsescu,French Armed Forces,Pier Ferdinando Casini,Michael Ignatieff,Ítalo Argentino Lúder,María Corina Machado,Marco Aurélio Garcia,Mikhail Gorbachev
Solomon P. Ortiz	Solomon Passy,Solomon Islands,Shlomo Ben-Ami,Allyson Schwartz,Bojan Pajtić,Anthony G. Brown,Stephen F. Lynch,John R. Allen,Stephen Solarz,Leon Panetta,Simon Coveney,Carolyn McCarthy,Lloyd Axworthy,Sonny Perdue,Salman Khan,Roberta Pinotti,Ron DeSantis,Roman Herzog,Srgjan Kerim,Süleyman Demirel,V. P. Singh,Allan H. Meltzer,Timothy J. Keating,Donald M. Payne,John F. Tierney,John E. Sununu,R. P. Singh,Ben Cardin,John Danforth,John Warner,Scott Garrett,Marion Barry,Raymond Kelly,Josef Pröll,Tommy Lapid,Dan Burton,Ernest Moniz,Jan Pronk,Sergio Diez,Roland Koch,Paul Martin,Tom Carper,Steven Mnuchin,Jason Chaffetz,Jean Spautz,Zoltán Gál,South Korea,Irene Pivetti,Robert E. Cramer,Solomon P. Ortiz
Miriam Defensor Santiago	María Jesús Montero,María Corina Machado,Marisa Matias,Kiran Desai,Mintimer Shaimiev,Israel Defense Forces,Soraya Sáenz de Santamaría,Maria Elena Boschi,Carla Del Ponte,Carlos Santana,Juan Antonio Samaranch,Mircea Geoană,Jacques Santer,Morgan Tsvangirai,Mauno Koivisto,Marco Aurélio Garcia,Javier Diez Canseco,Ron DeSantis,Beniamino Andreatta,Mauritania,Adrian Smith,Elena Salgado,Richard Danzig,Uri Rosenthal,Corina Casanova,Javier Solana,Chelsea Manning,Oskar Lafontaine,Victor Ponta,Marine Le Pen,Fidel Castro,Mario Barletta,Iberian Peninsula,Mário Soares,Luis Videgaray Caso,Jair Bolsonaro,Makiko Tanaka,Jim Prentice,Marietta Giannakou,Prem Tinsulanonda,James Langevin,Bram Peper,Marie Bashir,Vincenzo Scotti,Marilies Flemming,Sam Johnson,James Florio,François Patriat,Takeshi Onaga,Miriam Defensor Santiago
Andrew Adonis	Andrew Card,Andrew Powell,Andrus Ansip,Andrew Lansley,Andriy Sadovyi,Andrew Robathan,Alfred Sant,Indrek Tarand,Moshe Arens,Amy Adams,Ashraf Ghani,András Bozóki,Anke Fuchs,Andrej Plenković,Andreas Loverdos,James Florio,Nigel Evans,Antonio Inoki,Todd Akin,Ernest Moniz,Taro Kono,Steve Daines,Arsen Avakov,Anson Chan,Idi Amin,Angelo Scola,Miguel Arraes,Andris Piebalgs,Peronism,Pedro Solbes,Greg Abbott,Enda Kenny,Tariq Aziz,Anne Hidalgo,Omar Bongo,Alice Rivlin,Dipu Moni,Pope Francis,Jerry Lewis,Sierra Leone,Hervé Morin,Ilse Aigner,Sardinia,L. K. Advani,Adobe Inc.,Apple Inc.,United Russia,United Nations,Adrian Smith,Andrew Adonis, Baron Adonis
T. Michael Moseley	Michael Fallon,Michael Howard,Michael Kocáb,Michel Mercier,Michael E. Ryan,Michael Flynn,Michael Bloomberg,Michael Dukakis,Michel Barnier,Mikhail Margelov,Michal Kováč,Wilhelm Molterer,R. Nicholas Burns,Connie Morella,Michel Suleiman,Jean-Michel Baylet,Michael Ignatieff,Stephen Hadley,Bill Bradley,Richard Ottaway,Lionel Bowen,Simon Coveney,Grace Kelly,Mikhail Gorbachev,Michel Camdessus,Redha Malek,Ricardo Rosselló,Shaul Mofaz,Martha McSally,Miguel Arraes,Michael Spindelegger,Dobrica Ćosić,Lionel Jospin,C. Boyden Gray,H. R. McMaster,F. W. de Klerk,Zbigniew Messner,Tim Fischer,Tim Holden,Paul Reeves,Vince Cable,Rob Nicholson,Dick Celeste,Howard Coble,William Cohen,Dick Marty,Jim Doyle,Richard Danzig,Microsoft,T. Michael Moseley
Kōichirō Genba	Kōichirō Matsuura,Victor Ponta,Joachim Gauck,Richard Danzig,Richard Dannatt,Richard Nixon,Tzachi Hanegbi,Kenji Goto,Lithuania,Masahide Ōta,Hindi cinema,Michael Flynn,Pierre Werner,Michael Kocáb,Rick Larsen,Morris Iemma,Modibo Keïta,Kit Bond,Richard Ottaway,Richard Caborn,Kiran Desai,Gianni Letta,Victor Ciorbea,Richard Branson,Kaushik Basu,Gábor Vona,Sierra Leone,Siiri Oviir,Eritrea,Narcís Serra,Lech Wałęsa,Tzipi Livni,Michal Kováč,Kristina Keneally,Árpád Göncz,Richard Bruton,Lothar Bisky,Chechnya,Taro Kono,Heizō Takenaka,Ninja,Takeshi Onaga,Eiki Nestor,Keizō Obuchi,Makiko Tanaka,Saudi Arabia,Mauritania,Rein Lang,Netherlands,Kōichirō Genba
Yaakov Edri	Yaakov Neeman,Yash Ghai,Mark Kirk,Yair Lapid,Ze'ev Elkin,Satsuki Eda,Renato Soru,Yahya Khan,Jack Lew,Taro Kono,Mark Pryor,Guido Carli,Sadako Ogata,Sanna Marin,Ratko Mladić,Jelko Kacin,Carlos Slim,Marion Barry,David Libai,Marek Jurek,Eliane Karp,Madrid,Paul Biya,David Ige,Mark Binskin,Ludwik Dorn,Mark Rutte,Babacar Gaye,Eliot Engel,Srgjan Kerim,Paulo Maluf,Tariq Aziz,Dan Boren,Sajid Javid,Gábor Vona,Boyko Borisov,Pavel Tigrid,Paul Martin,Mart Laar,Hervé Morin,Yuriy Ilyin,Albio Sires,Péter Erdő,Marat Tajin,Tom Udall,Paweł Kukiz,Tatars,Bram Peper,Andrew Card,Yaakov Edri
