Abdullah Gul	Abdullah Gül
Kim Daejung	Kim Daejung
National Front	National Front
Hong Kong Division D Football League	Hong Kong Fourth Division League
Songshan District	Songshan District Taipei
Ernst King	Ernest King
Colentis Paulista Sports Club	Sport Club Corinthians Paulista
The Kingdom of Württemberg	Kingdom of Württemberg
IBooks	IBooks
Joachim Gauck	Joachim Gauck
Hohhot	Hohhot
John Wall	John Wall
Gaston Ramelis	Gastón Ramírez
Jesper Grenshire	Jesper Grønkjær
Laconnei	Laconnex
Ernest Rutherford	Ernest Rutherford
Convair	Convair
Federica Mogherini	Federica Mogherini
Ahmed Shah Bahadur	Ahmad Shah Bahadur
Yu Hai	Yu Hai
Govishian	Gwichin language
Ignatius Loyola	Ignatius of Loyola
Linux	Linux
F15E Strike Eagle fighterbomber	McDonnell Douglas F15E Strike Eagle
Ito Hirofumi	Itō Hirobumi
Corey Booker	Cory Booker
Luzhu District	Lujhu District
Vassiliki Sanu	Vassiliki ThanouChristophilou
Feng Guozhang	Feng Guozhang
Perfect Crime	Perfect Crime
Christian Nimet	Krisztián Németh
Semeria	Sammir
Yampa River	Yampa River
nicosia	Nicosia
Eric Harris and Dylan Klebold	Eric Harris and Dylan Klebold
ItalianWestern Romance	ItaloWestern languages
Wanna Mama	Divas in Distress
Block B	Block B
Rong Yiren	Rong Yiren
Dingxi	Dingxi
Au Qianyi	Cindy Au
Ahmed MartinDavtari	Ahmad MatinDaftari
Chinese characters	Chinese characters
Sun Xiang	Sun Xiang
Ishigaya	City of Rockdale
Bukit Jalil National Stadium	Bukit Jalil National Stadium
Malay	Malay language
esbjerg	Esbjerg
Walter Gilbert	Walter Gilbert
Chris Paul	Chris Paul
Shoushan District	Moriyamaku Nagoya
Keiyo Road	Keiyō Road
Universal Studios Hollywood	Universal Studios Hollywood
Aaron Burr	Aaron Burr
Jiang Minshou	Kang Minsoo
Rudolf Hess	Rudolf Hess
Anhui Province	Anhui
The First Confession of Love	Baby One More Time
Lin Fengjiao	Lin Fengjiao
Sai Chong	Say Chhum
London Heathrow Airport	Heathrow Airport
Yunfu City	Yunfu
Zhang Linpeng	Zhang Linpeng
Qatar Star Football League	Qatar Stars League
Rhodesia	Rhodesia
Bob Casey	Bob Casey Jr
Alex Lynn	Alex Lynn
Heechul	Kim Heechul
Samsung Group	Samsung
Kingdom of Iraq	Kingdom of Iraq
alcoy	Alcoy Spain
Igbo	Igbo language
Napoleon I	Napoleon
Alexander Millerand	Alexandre Millerand
Barnsley Football Club	Barnsley FC
Tokyo Incident	Tokyo Jihen
Sardin Skoda Sports	Skoda Xanthi FC
Luan	Luan
2012 Summer Olympics	2012 Summer Olympics
Han Seungsoo	Han Seungsoo
Carl XVI Gustaf	Carl XVI Gustaf of Sweden
Mali	Mari language
woods	Shulin District
sky	Sky
Royal Astronomical Society Gold Medal	Gold Medal of the Royal Astronomical Society
Doom Series	Doom
Vasily Danilovich Sokolovsky	Vasily Sokolovsky
Prince Arthur	Prince Arthur Duke of Connaught and Strathearn
Butterfly	Butterfly
Preston Football Club	Preston North End FC
NVIDIA GeForce 9	GeForce 9 series
Huesca Province	Province of Huesca
Think of me no more tears	Think of Me No More Tears
The Knights Hospitaller	Knights Hospitaller
Girls Generation	Girls Generation
Comcast	Comcast
Imir Haka	Emil Hácha
Kurdish Supreme Council	Kurdish Supreme Committee
Oromo	Oromo people
LOVE PiECE	Love Piece
Britney	Britney
Muse Band	Muse
Kanaan Banana	Canaan Banana
Warringa Council	Warringah Council
Marilyn Manson	Marilyn Manson
srinagar	Srinagar
Vivendi	Vivendi
coalition90 greens	Alliance 90 The Greens
Zhu Zhenmo	Joo Jinmo
Jamal AbdulNasser	Gamal Abdel Nasser
Mabuya Institute of Technology	Mapúa Institute of Technology
Ogiwa Station	Ogikubo Station
Kevin Phillips	Kevin Phillips
Homs	Homs
Shu Chang	Shu Chang
MY SUGAR CAT	My Sugar Cat
Pujie	Pujie
Marlon Jingzhi	Marlon King
